Noah Felipe: Horário Login: 2022-12-12T23:01:37.519957700
Noah Felipe: Horário Logout: 2022-12-12T23:01:39.637957
Noah Felipe: Horário Login: 2022-12-12T23:03:38.581954500
Noah Felipe: Horário Login: 2022-12-12T23:11:42.210954600
Noah Felipe: Horário Login: 2022-12-12T23:34:36.515954200
Noah Felipe: Horário Login: 2022-12-12T23:35:58.646954900
Noah Felipe: Horário Login: 2022-12-12T23:37:38.245959900
Noah Felipe: Horário Login: 2022-12-12T23:39:10.798957800
Noah Felipe: Horário Login: 2022-12-12T23:40:38.177955800
Noah Felipe: Horário Login: 2022-12-12T23:41:30.339956800
Noah Felipe: Horário Login: 2022-12-12T23:42:40.284956500
Noah Felipe: Horário Login: 2022-12-12T23:43:14.985955600
Noah Felipe: Horário Login: 2022-12-12T23:44:09.412957700
Noah Felipe: Horário Login: 2022-12-12T23:45:54.077962900
Noah Felipe: Horário Login: 2022-12-12T23:51:48.354955800
Noah Felipe: Horário Login: 2022-12-12T23:52:17.534957100
Noah Felipe: Horário Logout: 2022-12-12T23:53:00.462955400
Noah Felipe: Horário Login: 2022-12-12T23:59:09.179959
Noah Felipe: Horário Login: 2022-12-13T00:00:48.036962800
Noah Felipe: Horário Login: 2022-12-13T00:04:00.221954200
Noah Felipe: Horário Login: 2022-12-13T00:04:25.247964100
Noah Felipe: Horário Logout: 2022-12-13T00:05:14.903956600
Noah Felipe: Horário Login: 2022-12-13T00:07:37.507957700
Noah Felipe: Horário Logout: 2022-12-13T00:07:49.323960200
Noah Felipe: Horário Login: 2022-12-13T10:06:33.881158500
Noah Felipe: Horário Login: 2022-12-13T10:08:09.128152600
Noah Felipe: Horário Login: 2022-12-13T10:13:02.596156
Noah Felipe: Horário Login: 2022-12-13T10:15:47.161162500
Noah Felipe: Horário Logout: 2022-12-13T10:16:10.281155700
Noah Felipe: Horário Login: 2022-12-13T10:17:02.094155200
Noah Felipe: Horário Logout: 2022-12-13T10:17:29.542157300
Noah Felipe: Horário Login: 2022-12-13T10:19:44.184161900
Noah Felipe: Horário Login: 2022-12-13T10:20:55.858155900
Noah Felipe: Horário Logout: 2022-12-13T10:21:22.103158200
Bruna Celestino: Horário Login: 2022-12-13T10:22:16.787153
Bruna Celestino: Horário Logout: 2022-12-13T10:23:30.628155500
Bruna Celestino: Horário Login: 2022-12-13T10:23:45.214157500
Bruna Celestino: Horário Logout: 2022-12-13T10:23:59.806156800
Bruna Celestino: Horário Login: 2022-12-13T10:25:56.503154200
Bruna Celestino: Horário Logout: 2022-12-13T10:26:07.434159800
Bruna Celestino: Horário Login: 2022-12-13T10:30:16.283158400
